"","Days.before.peak","Wave.edge.length","Areal.wave.expansion","median.speed","mean.speed","length greater than max"
"1",63,1604.96291577608,1100,0,2.61906607575286,164.611581105238
"2",62,1769.57449688131,16500,0,1.43556611428986,205.764476381549
"3",61,2860.12622170352,1100,0,0.700494932827545,123.458685828928
"4",60,2983.58490753244,2200,0,33.648127230465,370.376057486787
"5",59,3065.89069808507,-9900,0,21.9293709193524,946.51659135512
"6",58,2263.40924019703,4400,0,0.561175844676944,102.882238190774
"7",57,2510.32661185488,8800,0,1.01195644122073,185.188028743393
"8",56,2963.00845989429,16500,0,1.33833007846247,288.070266934167
"9",55,3765.48991778233,20900,0,2.52989110305181,720.175667335416
"10",54,4094.7130799928,14300,0,1.83348047718111,555.56408623018
"11",53,4341.63045165066,23100,0,5.17285450362696,1028.82238190774
"12",52,4444.51268984143,12100,0,3.61783829279894,658.446324420951
"13",51,4609.12427094667,22000,0,3.18386117113769,946.516591355118
"14",50,4938.34743315715,28600,0,4.90222838367407,1152.28106773667
"15",49,5041.22967134792,17600,0,3.09841868939792,925.940143716965
"16",48,5205.84125245316,29700,0,6.02477330245164,1275.7397535656
"17",47,5329.29993828209,46200,0,13.919065801397,2139.9505543681
"18",46,5123.53546190054,47300,0,6.92652574573798,1522.65712522345
"19",45,5473.33507174917,44000,0,10.8806962253106,1995.91542090101
"20",44,5082.38256662423,37400,0,7.14242120777228,1666.69225869054
"21",43,5041.22967134792,30800,0,5.5924649154407,1399.19843939452
"22",42,5020.65322370977,37400,0,7.1325083528196,1934.18607798655
"23",41,5102.95901426239,35200,0,18.5060387805427,2242.83279255887
"24",40,4547.39492803221,29700,0,8.3539296860867,1687.26870632869
"25",39,4526.81848039405,47300,0,13.7027808420391,2469.17371657858
"26",38,4053.56018471649,29700,0,11.893877583068,1666.69225869054
"27",37,3991.83084180203,33000,0,7.87512742467857,1707.84515396685
"28",36,4053.56018471649,57200,0,12.9037920340409,2345.71503074964
"29",35,4012.40728944018,45100,0,9.65584537990895,1913.6096303484
"30",34,4135.86597526911,40700,0,8.38225244890259,1748.99804924316
"31",33,4362.20689928881,47300,0,11.6043012172634,2325.13858311149
"32",32,4423.93624220328,69300,20.5764476381545,13.2210965803269,2716.09108823643
"33",31,4670.85361386114,78100,20.5764476381545,17.8397891220547,2880.70266934167
"34",30,4567.97137567036,82500,20.5764476381546,19.2344998181927,2963.00845989429
"35",29,4691.4300614993,107800,20.5764476381548,26.094359615616,3497.99609848632
"36",28,5144.1119095387,128700,20.5764476381548,22.0176498806088,3868.3721559731
"37",27,5432.18217647287,114400,20.5764476381548,22.4814887406171,4012.40728944018
"38",26,5185.26480481501,139700,20.576447638155,27.1152800932713,4362.20689928881
"39",25,5246.99414772948,174900,35.6394527485644,42.3820249690183,4609.12427094668
"40",24,5102.9590142624,169400,20.576447638155,31.28486594882,4177.01887054542
"41",23,5699.67599576888,172700,20.576447638155,32.5068043030637,4814.88874732822
"42",22,6193.5107390846,229900,35.6394527485644,33.2798058590793,5720.25244340704
"43",21,6769.65127295295,190300,20.576447638155,29.0215013459472,5823.13468159781
"44",20,6378.69876782799,177100,20.576447638155,29.795241613447,5617.37020521627
"45",19,6214.08718672275,204600,20.576447638155,27.2280316111316,5411.60572883471
"46",18,7592.70917847913,217800,20.576447638155,30.7183521635592,6769.65127295293
"47",17,7777.89720722253,283800,35.6394527485644,34.7962149021362,7078.29798752526
"48",16,8518.6493221961,297000,35.6394527485645,33.2655648962764,7736.74431194622
"49",15,9424.01301827488,332200,35.6394527485645,38.1405321771345,8765.56669385395
"50",14,9259.40143716964,336600,35.6394527485645,49.9801056345075,8889.02537968287
"51",13,8703.83735093949,345400,35.6394527485645,42.2961810593735,8251.1555029001
"52",12,8724.41379857763,289300,20.576447638155,36.38845679046,7901.35589305145
"53",11,8415.76708400533,257400,20.576447638155,29.9451514369156,7736.74431194622
"54",10,8683.26090330134,328900,35.6394527485645,37.6483719781223,8292.30839817641
"55",9,9362.28367536042,502700,54.4401633156997,74.5961487815746,9156.51919897888
"56",8,8395.19063636717,281600,35.6394527485646,50.3779254361225,7757.32075958438
"57",7,6605.0396918477,265100,35.6394527485648,71.4483795373093,6543.31034893324
"58",6,5432.18217647287,112200,20.576447638155,23.8093844231488,4300.47755637435
"59",5,4979.50032843346,194700,35.6394527485648,45.3911169830636,4958.9238807953
"60",4,4465.08913747959,106700,20.576447638155,24.9232334787149,3786.06636542048
"61",3,4238.74821345988,128700,35.6394527485645,32.4105121460546,3909.52505124941
"62",2,4032.98373707834,223300,54.4401633157,60.0924639722124,4032.98373707834
"63",1,3600.87833667709,190300,35.639452748565,42.5279458234026,3148.19648863769
