 -0.5461390096 -1.119618886 -1814.817385 0.0005332381782
 -0.5917172089 -0.7452773524 -1814.044446 0.0006334440346
 -0.622102675 -0.4957163301 -1813.813621 0.001234122274
 -0.6530710037 -0.241368158 -1813.819783 0.0007930084934
 -0.6995234968 0.1401541001 -1814.391527 0.0008163361216
 -0.3793554824 -1.605833297 -1813.82427 0.001439546914
 -0.4401264147 -1.106711253 -1811.275137 0.01124278428
 -0.4857046139 -0.7323697193 -1810.250486 0.01717821817
 -0.5160900801 -0.482808697 -1809.987175 0.03457294077
 -0.5470584088 -0.2284605249 -1810.096297 0.02004200626
 -0.5935109019 0.1530617332 -1811.09808 0.01342050482
 -0.6554475593 0.6617580773 -1814.101872 0.001090598257
 -0.2998460362 -1.596152572 -1813.484062 0.001109378875
 -0.3606169685 -1.097030528 -1810.026789 0.02148465956
 -0.4061951677 -0.7226889944 -1808.781688 0.04092344859
 -0.4365806339 -0.4731279722 -1808.49712 0.08413232055
 -0.4675489626 -0.2187798001 -1808.697406 0.04452211577
 -0.5140014557 0.162742458 -1809.999381 0.02208164171
 -0.5759381131 0.6714388021 -1813.759426 0.000842346681
 -0.2468397388 -1.589698756 -1813.761499 0.001300153017
 -0.3076106711 -1.090576711 -1809.915511 0.0371415265
 -0.3531888703 -0.7162351779 -1808.492837 0.08449339041
 -0.3835743364 -0.4666741556 -1808.200537 0.1750536429
 -0.4145426651 -0.2123259835 -1808.463604 0.08699988545
 -0.4609951582 0.1691962746 -1809.998027 0.03419978982
 -0.5229318156 0.6778926187 -1814.244428 0.0008021600157
 -0.1930190123 -1.583145778 -1814.657043 0.0003432896293
 -0.2537899446 -1.084023733 -1810.333888 0.01580362878
 -0.2993681438 -0.7096822 -1808.787649 0.04068025974
 -0.32975361 -0.4601211777 -1808.475731 0.08595115793
 -0.3607219387 -0.2057730057 -1808.821431 0.03932893188
 -0.4071744318 0.1757492524 -1810.603091 0.01207379071
 -0.173058855 -1.074194267 -1812.163983 0.004622248906
 -0.2186370542 -0.6998527332 -1810.386178 0.01499849381
 -0.2490225203 -0.4502917109 -1810.078578 0.03155301145
 -0.279990849 -0.1959435388 -1810.511635 0.01323007892
 -0.3264433421 0.1855787193 -1812.702405 0.002697860258
 -0.1413810674 -0.4371857551 -1814.479625 0.0006340395615
