Days,Days before peak,Wave edge length (km),Recruitment rate (km2/day),Median speed (km/day)
1,62,2150.64,-841.75,556.78
2,61,2272.92,64.75,556.63
3,60,2188.2,129.5,556.31
4,59,2620.3,582.75,556.47
5,58,3008.22,388.5,570.67
6,57,3475.85,518,586.63
7,56,3853.52,841.75,602.42
8,55,4793.58,647.5,636.84
9,54,5885.57,1036,661.49
10,53,6504.4,1424.5,704.25
11,52,7039.41,1100.75,728.14
12,51,8104.16,1489.25,782.95
13,50,8886.98,1554,848.2
14,49,9669.74,2331,932.54
15,48,9495.68,1877.75,1144.95
16,47,10270.11,1748.25,1176.32
17,46,10335.46,2201.5,1448.87
18,45,11123.08,2784.25,1453.44
19,44,11295.56,2007.25,1317.28
20,43,10841.46,2136.75,1338.27
21,42,10406.81,2331,1299.13
22,41,10948.27,2654.75,1299.08
23,40,11512.41,1359.75,1402.56
24,39,10979.22,2525.25,1414.62
25,38,11013.54,1618.75,1406.63
26,37,11036.07,1618.75,1406.63
27,36,11476.39,1683.5,1415.17
28,35,11520.43,2136.75,1402.56
29,34,11028.6,1683.5,1408.15
30,33,11512.69,2590,1410.29
31,32,11715.19,3626,1410.47
32,31,12636.08,4856.25,1410.65
33,30,14129.35,8158.5,1388.28
34,29,15334.99,9777.25,1342.89
35,28,16080.28,15734.25,1304.28
36,27,16158.8,14050.75,1322.76
37,26,19116.3,24669.75,1355.83
38,25,19844.62,25900,1202.29
39,24,21383.3,25058.25,1291.44
40,23,22192.55,31598,1194.02
41,22,23532.63,48174,1165.85
42,21,19962.59,56073.5,1087.62
43,20,16193.82,40857.25,1323.88
44,19,13427.49,23245.25,1583.28
45,18,11163.58,16640.75,1623.26
46,17,8871.12,32893,1571.25
47,16,4883.07,18065.25,1761.7
48,15,703.14,36130.5,2049.01
49,14,0,582.75,5092.92
50,13,0,0,0
51,12,0,0,0
52,11,0,0,0
53,10,0,0,0
54,9,0,0,0
55,8,0,0,0
56,7,0,0,0
57,6,0,0,0
58,5,0,0,0
59,4,0,0,0
60,3,0,0,0
61,2,0,0,0
62,1,0,0,0
63,0,0,0,0
