GEOID,population
15000US010150023003,1419
15000US010150023004,505
15000US010150024001,2487
15000US010150024002,2271
15000US010150025011,646
15000US010150025012,1866
15000US010150025013,3300
15000US010150025014,1521
15000US010150025021,1001
15000US010150025022,957
15000US010150025023,2052
15000US010150025024,483
15000US010150026001,1757
15000US010150026002,1414
15000US010150026003,1184
15000US010159819011,0
15000US010159819021,0
15000US010159819031,0
15000US010179538001,1018
15000US010179538002,1700
15000US010179538003,908
15000US010179539001,841
15000US010179539002,717
15000US010179539003,812
15000US010179539004,607
15000US010179540001,988
15000US010179540002,900
15000US010179540003,642
15000US010179540004,1050
15000US010179540005,1498
15000US010179540006,1079
15000US010179542001,774
15000US010179542002,511
15000US010179542003,1905
15000US010179543001,998
15000US010179543002,1253
15000US010179543003,486
15000US010179543004,1795
15000US010179543005,664
15000US010179544001,822
15000US010179545001,1345
15000US010179545002,547
15000US010179545003,765
15000US010179545004,1389
15000US010179546001,656
15000US010179546002,1219
15000US010179546003,1253
15000US010179547001,1326
15000US010179547002,1378
15000US010179547003,680
15000US010179547004,1300
15000US010199557011,1268
15000US010199557012,1318
15000US010199557013,931
15000US010199557021,1853
15000US010199557022,1835
15000US010199558001,1887
15000US010199558002,1388
15000US010199558003,1376
15000US010199558004,776
15000US010199559001,1974
15000US010199559002,534
15000US010199559003,1503
15000US010199560001,1654
15000US010199560002,849
15000US010199560003,1706
15000US010199561001,418
15000US010199561002,877
15000US010199561003,2193
15000US010199561004,1513
15000US010210601011,711
15000US010210601012,981
15000US010210601013,914
15000US010210601014,1730
15000US010210601021,1308
15000US010210601022,987
15000US010210601023,1517
15000US010210601024,610
15000US010210601025,2712
15000US010210602001,1377
15000US010210602002,1140
15000US010210603001,2005
15000US010210603002,1596
15000US010210604011,1924
15000US010210604012,1200
15000US010210604013,2196
15000US010210604021,1414
15000US010210604022,1339
15000US010210604023,2839
15000US010210604024,1667
15000US010210604025,2217
15000US010210605001,846
15000US010210605002,1093
15000US010210605003,1335
15000US010210606001,1529
15000US010210606002,1992
15000US010210607001,1475
15000US010210607002,834
15000US010210607003,1074
15000US010210607004,1368
15000US010239567001,1218
15000US010239567002,453
15000US010239567003,570
15000US010239567004,1104
15000US010239568001,470
15000US010239568002,1377
15000US010239568003,472
15000US010239568004,477
15000US010239568005,1243
15000US010239569001,637
15000US010239569002,1371
15000US010239569003,330
15000US010239569004,1104
15000US010239570001,850
15000US010239570002,1399
15000US010259575001,755
15000US010259575002,581
15000US010259576011,1144
15000US010259576021,838
15000US010259576022,821
15000US010259576023,882
15000US010259576024,1433
15000US010259576025,1321
15000US010259577001,613
15000US010259577002,724
15000US010259578001,356
15000US010259578002,1593
15000US010259578003,402
15000US010259578004,425
15000US010259578005,857
15000US010259578006,900
15000US010259579011,1183
15000US010259579012,2354
15000US010259579021,1110
15000US010259579022,833
15000US010259579023,908
15000US010259579024,1113
15000US010259580011,1590
15000US010259580021,1651
15000US010279589001,1654
15000US010279589002,952
15000US010279589003,1594
15000US010279589004,1095
15000US010279590001,1335
15000US010279590002,1065
15000US010279590003,575
15000US010279591001,458
15000US010279591002,1643
15000US010279591003,663
15000US010279592001,797
15000US010279592002,528
15000US010279592003,1019
15000US010299595001,1096
15000US010299595002,1912
15000US010299596001,998
15000US010299596002,1284
15000US010299596003,1552
15000US010299597001,1844
15000US010299597002,564
15000US010299597003,1301
15000US010299598001,1461
15000US010299598002,1181
15000US010299598003,1745
15000US010310101001,702
15000US010310101002,1468
15000US010310102001,1203
15000US010310102002,611
15000US010310103001,2643
15000US010310103002,2245
15000US010310104001,999
15000US010310104002,783
15000US010310105001,1088
15000US010310105002,1348
15000US010310105003,625
15000US010310105004,679
15000US010310105005,860
15000US010310106001,865
15000US010310106002,696
15000US010310107001,2206
15000US010310108001,1819
15000US010310108002,1023
15000US010310109001,1680
15000US010310109002,712
15000US010310110001,1469
15000US010310110002,1727
15000US010310111001,2182
15000US010310112011,2577
15000US010310112012,3688
15000US010310112013,3088
15000US010310112021,1369
15000US010310112022,3098
15000US010310112023,2218
15000US010310112024,1732
15000US010310113001,1771
15000US010310113002,1400
15000US010310113003,714
15000US010330201001,741
15000US010330201002,964
15000US010330201003,447
15000US010330201004,1244
15000US010330202001,1282
15000US010330202002,645
15000US010330203001,516
15000US010330203002,627
15000US010330203003,748
15000US010330204001,975
15000US010330204002,762
15000US010330205001,1317
15000US010330205002,2384
15000US010330205003,483
15000US010330205004,1593
15000US010330206001,934
15000US010330206002,608
15000US010330206003,1105
15000US010330206004,1376
15000US010330207011,1223
15000US010330207012,3022
15000US010330207013,1979
15000US010330207031,1757
15000US010330207032,2597
15000US010330207033,638
15000US010330207041,1080
15000US010330207042,1339
15000US010330207043,809
15000US010330207044,1738
15000US010330208011,704
15000US010330208012,1685
15000US010330208013,1941
15000US010330208021,709
15000US010330208022,1547
15000US010330208023,1694
15000US010330209011,1082
15000US010330209012,1344
15000US010330209013,1828
15000US010330209021,460
15000US010330209022,1108
15000US010330209023,1240
15000US010330209024,661
15000US010330210001,1322
15000US010330210002,893
15000US010330210003,344
15000US010330210004,1000
15000US010359602001,393
15000US010359602002,1625
15000US010359603001,718
15000US010359603002,814
15000US010359604001,875
15000US010359604002,1149
15000US010359604003,1520
15000US010359605001,495
